feature,category,total_ms,count,mean_ms,min_ms,max_ms,ms_per_sample,total_samples
distributional,distributional,3277.131591796875,1,3277.131591796875,3277.131591796875,3277.131591796875,819.2828979492188,4
structural,structural,1054.1485595703125,1,1054.1485595703125,1054.1485595703125,1054.1485595703125,263.5371398925781,4
invariant_drift,invariant_drift,606.0728149414062,1,606.0728149414062,606.0728149414062,606.0728149414062,151.51820373535156,4
physics,physics,570.2274169921875,1,570.2274169921875,570.2274169921875,570.2274169921875,142.55685424804688,4
morphological,morphological,480.742431640625,1,480.742431640625,480.742431640625,480.742431640625,120.18560791015625,4
cross_channel,cross_channel,342.96435546875,1,342.96435546875,342.96435546875,342.96435546875,85.7410888671875,4
spatial,spatial,106.10966491699219,1,106.10966491699219,106.10966491699219,106.10966491699219,26.527416229248047,4
spectral,spectral,32.61113739013672,1,32.61113739013672,32.61113739013672,32.61113739013672,8.15278434753418,4
multiscale,multiscale,18.7142391204834,1,18.7142391204834,18.7142391204834,18.7142391204834,4.67855978012085,4
temporal,temporal,15.496512413024902,1,15.496512413024902,15.496512413024902,15.496512413024902,3.8741281032562256,4
causality,causality,6.822912216186523,1,6.822912216186523,6.822912216186523,6.822912216186523,1.7057280540466309,4
