feature,category,total_ms,count,mean_ms,min_ms,max_ms,ms_per_sample,total_samples
distributional,distributional,3601.129638671875,1,3601.129638671875,3601.129638671875,3601.129638671875,900.2824096679688,4
structural,structural,1127.0809326171875,1,1127.0809326171875,1127.0809326171875,1127.0809326171875,281.7702331542969,4
invariant_drift,invariant_drift,595.2245483398438,1,595.2245483398438,595.2245483398438,595.2245483398438,148.80613708496094,4
physics,physics,568.7367553710938,1,568.7367553710938,568.7367553710938,568.7367553710938,142.18418884277344,4
morphological,morphological,474.5185241699219,1,474.5185241699219,474.5185241699219,474.5185241699219,118.62963104248047,4
cross_channel,cross_channel,339.0379333496094,1,339.0379333496094,339.0379333496094,339.0379333496094,84.75948333740234,4
spatial,spatial,111.2655029296875,1,111.2655029296875,111.2655029296875,111.2655029296875,27.816375732421875,4
spectral,spectral,33.17145538330078,1,33.17145538330078,33.17145538330078,33.17145538330078,8.292863845825195,4
multiscale,multiscale,19.44268798828125,1,19.44268798828125,19.44268798828125,19.44268798828125,4.8606719970703125,4
temporal,temporal,15.033120155334473,1,15.033120155334473,15.033120155334473,15.033120155334473,3.758280038833618,4
causality,causality,6.120607852935791,1,6.120607852935791,6.120607852935791,6.120607852935791,1.5301519632339478,4
