================================================================================
PROFILING RESULTS - SORTED BY CUMULATIVE TIME
================================================================================

         19679018 function calls (17996283 primitive calls) in 784.808 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    80/79    0.001    0.000  900.604   11.400 /usr/lib/python3.13/threading.py:641(wait)
      2/1    0.000    0.000  784.804  784.804 /home/daniel/projects/spinlock/src/spinlock/dataset/pipeline.py:172(generate)
      2/1    0.002    0.001  784.803  784.803 /home/daniel/projects/spinlock/src/spinlock/dataset/pipeline.py:207(_generate_dataset_batches)
        7    0.001    0.000  666.701   95.243 /home/daniel/projects/spinlock/src/spinlock/dataset/pipeline.py:628(_process_batch_with_metadata)
        7    0.001    0.000  666.699   95.243 /home/daniel/projects/spinlock/src/spinlock/dataset/pipeline.py:682(_process_batch_variable_size_with_tracking)
        7    0.001    0.000  666.337   95.191 /home/daniel/projects/spinlock/src/spinlock/dataset/pipeline.py:457(_run_inference_batch)
       34    0.001    0.000  663.436   19.513 /home/daniel/projects/spinlock/src/spinlock/rollout/engine.py:147(evolve_operator)
       34    1.549    0.046  646.007   19.000 /home/daniel/projects/spinlock/src/spinlock/rollout/engine.py:293(_evolve_batched_realizations)
779000/17000    0.558    0.000  637.565    0.038 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:1771(_wrapped_call_impl)
779000/17000    0.907    0.000  637.545    0.038 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:1779(_call_impl)
124500/17000    0.588    0.000  637.508    0.038 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/container.py:245(forward)
   107500    0.074    0.000  518.143    0.005 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:158(forward)
    33000   21.087    0.001  492.431    0.015 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:215(forward)
   140500    0.099    0.000  293.157    0.002 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/conv.py:547(forward)
   140500    0.080    0.000  292.974    0.002 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/conv.py:530(_conv_forward)
   140500  292.894    0.002  292.894    0.002 {built-in method torch.conv2d}
   107500    0.170    0.000  236.876    0.002 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/instancenorm.py:104(forward)
   107500    0.136    0.000  236.333    0.002 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/instancenorm.py:46(_apply_instance_norm)
   107500    0.224    0.000  236.054    0.002 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/functional.py:2837(instance_norm)
   107500  235.591    0.002  235.591    0.002 {built-in method torch.instance_norm}
        3    0.003    0.001  118.098   39.366 /home/daniel/projects/spinlock/src/spinlock/dataset/pipeline.py:951(_write_batch_to_hdf5)
    79/78    0.974    0.012  115.290    1.478 /usr/lib/python3.13/threading.py:327(wait)
  319/314  113.406    0.356  113.476    0.361 {method 'acquire' of '_thread.lock' objects}
   107500    0.046    0.000   64.545    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/activation.py:812(forward)
   107500   64.499    0.001   64.499    0.001 {built-in method torch._C._nn.gelu}
    17000    0.029    0.000   33.366    0.002 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:571(forward)
    17000   10.506    0.001   18.260    0.001 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:364(forward)
       34    0.002    0.000   15.568    0.458 /home/daniel/projects/spinlock/src/spinlock/rollout/engine.py:377(_calibrate_batch_size)
       72    0.000    0.000   13.938    0.194 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/memory.py:212(empty_cache)
       72   13.938    0.194   13.938    0.194 {built-in method torch._C._cuda_emptyCache}
    17000    7.733    0.000    7.733    0.000 {built-in method torch.randn_like}
        3    0.012    0.004    5.339    1.780 /home/daniel/projects/spinlock/src/spinlock/dataset/storage.py:243(write_batch)
        7    4.806    0.687    4.807    0.687 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/dataset.py:930(__setitem__)
    16966    0.158    0.000    4.790    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/random.py:32(manual_seed)
        2    0.000    0.000    4.774    2.387 /home/daniel/projects/spinlock/src/spinlock/dataset/storage.py:334(_flush_buffer)
    16966    0.022    0.000    4.339    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/xpu/random.py:98(manual_seed_all)
    16966    0.039    0.000    4.317    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/xpu/__init__.py:85(_lazy_call)
    16966    0.055    0.000    4.252    0.000 /usr/lib/python3.13/traceback.py:242(format_stack)
    16966    0.023    0.000    2.182    0.000 /usr/lib/python3.13/traceback.py:33(format_list)
    16966    0.153    0.000    2.085    0.000 /usr/lib/python3.13/traceback.py:738(format)
    16966    0.040    0.000    2.004    0.000 /usr/lib/python3.13/traceback.py:249(extract_stack)
    16966    0.030    0.000    1.960    0.000 /usr/lib/python3.13/traceback.py:431(extract)
    16966    0.454    0.000    1.930    0.000 /usr/lib/python3.13/traceback.py:453(_extract_from_extended_frame_gen)
   203592    0.350    0.000    1.912    0.000 /usr/lib/python3.13/traceback.py:522(format_frame_summary)
        7    1.884    0.269    1.884    0.269 {built-in method torch.stack}
     3493    1.618    0.000    1.618    0.000 /home/daniel/projects/spinlock/src/spinlock/rollout/policies.py:184(update)
    13473    1.527    0.000    1.527    0.000 /home/daniel/projects/spinlock/src/spinlock/rollout/policies.py:119(update)
       34    0.000    0.000    1.086    0.032 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/__init__.py:1073(synchronize)
       34    1.084    0.032    1.084    0.032 {built-in method torch._C._cuda_synchronize}
        6    0.901    0.150    0.901    0.150 {method 'cpu' of 'torch._C.TensorBase' objects}
   407184    0.126    0.000    0.899    0.000 /usr/lib/python3.13/traceback.py:363(_dedented_lines)
   203592    0.154    0.000    0.747    0.000 /usr/lib/python3.13/textwrap.py:419(dedent)
   407184    0.186    0.000    0.728    0.000 /usr/lib/python3.13/traceback.py:371(line)
   107500    0.049    0.000    0.653    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/dropout.py:172(forward)
   107500    0.367    0.000    0.603    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/functional.py:1496(dropout2d)
   814368    0.221    0.000    0.460    0.000 /usr/lib/python3.13/traceback.py:342(_set_lines)
   101796    0.089    0.000    0.456    0.000 /usr/lib/python3.13/linecache.py:66(checkcache)
       34    0.450    0.013    0.450    0.013 {built-in method torch.cat}
   938474    0.405    0.000    0.405    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:1951(__getattr__)
   101876    0.361    0.000    0.361    0.000 {built-in method posix.stat}
   203637    0.079    0.000    0.327    0.000 /usr/lib/python3.13/re/__init__.py:183(sub)
   203592    0.153    0.000    0.299    0.000 /usr/lib/python3.13/textwrap.py:470(indent)
   779000    0.270    0.000    0.270    0.000 {built-in method torch._C._get_tracing_state}
   407234    0.263    0.000    0.263    0.000 {method 'sub' of 're.Pattern' objects}
    33932    0.038    0.000    0.231    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/random.py:115(manual_seed_all)
   220558    0.051    0.000    0.229    0.000 /usr/lib/python3.13/traceback.py:445(extended_frame_gen)
       34    0.001    0.000    0.228    0.007 /home/daniel/projects/spinlock/src/spinlock/operators/builder.py:193(build_simple_cnn)
      215    0.001    0.000    0.213    0.001 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:112(__init__)
    33932    0.052    0.000    0.193    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/__init__.py:338(_lazy_call)
      281    0.001    0.000    0.190    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/conv.py:496(__init__)
      281    0.002    0.000    0.188    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/conv.py:87(__init__)
       66    0.000    0.000    0.188    0.003 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:184(__init__)
   220558    0.178    0.000    0.178    0.000 /usr/lib/python3.13/traceback.py:380(walk_stack)
      281    0.000    0.000    0.170    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/conv.py:179(reset_parameters)
      281    0.001    0.000    0.169    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/init.py:511(kaiming_uniform_)
   203592    0.095    0.000    0.167    0.000 /usr/lib/python3.13/linecache.py:22(getline)
      315    0.166    0.001    0.166    0.001 {method 'uniform_' of 'torch._C.TensorBase' objects}
  1643841    0.147    0.000    0.147    0.000 {method 'append' of 'list' objects}
   203637    0.100    0.000    0.134    0.000 /usr/lib/python3.13/re/__init__.py:330(_compile)
